type,excel,json,status,source_file,processed_at
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\BCBS- Rocca- Streetlight Taco- div003- Dec 25_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\BCBS- Rocca- Streetlight Taco- div003- Dec 25_invoice.json,extracted,BCBS- Rocca- Streetlight Taco- div003- Dec 25.pdf,2026-03-04T16:41:46
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\BCBS- Rocca- Streetlight Taco- div004- Dec 25_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\BCBS- Rocca- Streetlight Taco- div004- Dec 25_invoice.json,extracted,BCBS- Rocca- Streetlight Taco- div004- Dec 25.pdf,2026-03-04T16:41:47
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\BCBS- Rocca- div001- Dec 25_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\BCBS- Rocca- div001- Dec 25_invoice.json,extracted,BCBS- Rocca- div001- Dec 25.pdf,2026-03-04T16:42:06
