type,excel,json,status,source_file,processed_at
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\APL- Securance- Dec 25_ANGjdJ_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\APL- Securance- Dec 25_ANGjdJ_invoice.json,extracted,APL- Securance- Dec 25_ANGjdJ.pdf,2026-03-04T15:44:04
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\APL- Specified Arch- Dec 25_ANGjdJ_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\APL- Specified Arch- Dec 25_ANGjdJ_invoice.json,extracted,APL- Specified Arch- Dec 25_ANGjdJ.pdf,2026-03-04T15:44:11
