type,excel,json,status,source_file,processed_at
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\APL- Rapid Trading- Dec 25_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\APL- Rapid Trading- Dec 25_invoice.json,extracted,APL- Rapid Trading- Dec 25.pdf,2026-03-04T16:17:37
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\UHC- SEFL- Feb 26_ANGjdJ_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\UHC- SEFL- Feb 26_ANGjdJ_invoice.json,extracted,UHC- SEFL- Feb 26_ANGjdJ.pdf,2026-03-04T16:17:43
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\UHC- Rapid Trading- Feb 26_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\UHC- Rapid Trading- Feb 26_invoice.json,extracted,UHC- Rapid Trading- Feb 26.pdf,2026-03-04T16:17:47
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\UHC- Securance- Feb 26 (1)_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\UHC- Securance- Feb 26 (1)_invoice.json,extracted,UHC- Securance- Feb 26 (1).pdf,2026-03-04T16:17:47
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\UHC- Securance- Feb 26 (1) (1)_ANGjdJ_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\UHC- Securance- Feb 26 (1) (1)_ANGjdJ_invoice.json,extracted,UHC- Securance- Feb 26 (1) (1)_ANGjdJ.pdf,2026-03-04T16:17:48
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\UHC- MGSI- Feb 26_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\UHC- MGSI- Feb 26_invoice.json,extracted,UHC- MGSI- Feb 26.pdf,2026-03-04T16:17:48
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\UHC- Specified Arch- Feb 26 (1)_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\UHC- Specified Arch- Feb 26 (1)_invoice.json,extracted,UHC- Specified Arch- Feb 26 (1).pdf,2026-03-04T16:17:55
