type,excel,json,status,source_file,processed_at
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\Anthem BC CA CMPLA LLC Feb-25 Inv_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\Anthem BC CA CMPLA LLC Feb-25 Inv_invoice.json,extracted,Anthem BC CA CMPLA LLC Feb-25 Inv.pdf,2026-03-09T16:54:37
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\KCL- Hendrik Uiterwyk- March 26 _invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\KCL- Hendrik Uiterwyk- March 26 _invoice.json,extracted,KCL- Hendrik Uiterwyk- March 26 .pdf,2026-03-09T16:54:59
