type,excel,json,status,source_file,processed_at
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\APL- Urban Stillhouse- Dec 25_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\APL- Urban Stillhouse- Dec 25_invoice.json,extracted,APL- Urban Stillhouse- Dec 25.pdf,2026-03-04T16:04:06
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\APL- VU Tech- Dec 25_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\APL- VU Tech- Dec 25_invoice.json,extracted,APL- VU Tech- Dec 25.pdf,2026-03-04T16:04:25
INVOICE,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\BCBC- 23 Restaurants- div003- Dec 25 (1)_invoice.xlsx,C:\Users\INT002\pdf_extractor\Unified_PDF_Platform\unified_outputs\BCBC- 23 Restaurants- div003- Dec 25 (1)_invoice.json,extracted,BCBC- 23 Restaurants- div003- Dec 25 (1).pdf,2026-03-04T16:05:47
